Company,Company Country,India Investment Location,Region,Year,Month,Date,Category,Investment ($),Investmen(INR),Description,Link,State Investment/Variety Notes,Partnership
TCL,China,Andhra Pradesh,South,2020,January,20-Jan,Technology/Electronics,"$301,739,900.00","22,000,000,000.00",China's TCL to feed US Make-in-India TVs,https://timesofindia.indiatimes.com/business/india-business/chinas-tcl-to-feed-us-make-in-india-tvs/articleshow/73164451.cms,,
Boeing,United States,India,,2020,January,20-Jan,Military/Space,"$930,000,000.00","67,806,765,000.00",Deadly AH-64E Apache attack helicopters to be made in India,https://www.financialexpress.com/defence/deadly-ah-64e-apache-attack-helicopters-to-be-made-in-india/1838359/,,
Amazon,United States,India,,2020,January,20-Jan,General Goods,"$5,000,000,000.00","364,552,500,000.00","With its global footprint, Amazon to export $10 billion of 'Make in India' goods by 2025: Jeff Bezos",https://timesofindia.indiatimes.com/business/india-business/with-its-global-footprint-amazon-to-export-10-billion-of-make-in-india-goods-by-2025-jeff-bezos/articleshow/73266502.cms,,
Panasonic,Japan,Tamil Nadu,South,2020,January,20-Jan,General Goods,"$82,292,700.00","6,000,000,000.00",Panasonic Life to invest Rs 600 crore for electrical equipment near Chennai,https://www.business-standard.com/article/companies/panasonic-life-to-invest-rs-600-crore-for-electrical-equipment-near-chennai-120011100425_1.html,,
Suzuki,Japan,Gujarat,West,2020,January,20-Jan,Automobiles,"$509,528,967.50","37,150,000,000.00","Suzuki JV to invest  ₹3,715 crore in second phase of battery venture",https://www.livemint.com/companies/news/suzuki-jv-to-invest-3-715-crore-in-second-phase-of-battery-venture-11577900471545.html,,
Bounce Inc,Australia,India,,2020,January,20-Jan,General Goods,"$27,430,900.00","2,000,000,000.00",Australian Trampoline Park to Invest INR 150-200 Crore Across India,https://www.entrepreneur.com/article/345247,,
PayU,Netherlands,India,,2020,January,20-Jan,Businesses/Startups,"$38,403,260.00","2,800,000,000.00",Prosus' PayU To Invest R2.8bn In A New Credit Business In India,https://www.techfinancials.co.za/2020/01/10/prosus-payu-to-invest-r2-8bn-in-a-new-credit-business-in-india/,,
Panasonic,Japan,Andhra Pradesh,South,2020,January,20-Jan,Industry,"$40,323,423.00","2,940,000,000.00",Panasonic to invest ₹294 crore on electrical plant,https://www.thehindu.com/news/national/andhra-pradesh/panasonic-to-invest-294-crore-on-electrical-plant/article30537937.ece,,
Adani,India,India,,2020,January,20-Jan,Infrastructure,"$1,234,390,500.00","90,000,000,000.00","Adani Gas to invest Rs 9,000 cr on distribution networks over next 10 years",https://www.financialexpress.com/industry/adani-gas-to-invest-rs-9000-cr-on-distribution-networks-over-next-10-years/1832018/,,
GAIL,India,India,,2020,January,20-Jan,Infrastructure,"$6,171,952,500.00","450,000,000,000.00","GAIL to invest over  ₹45,000 cr to create infrastructure for gas-based economy",https://www.livemint.com/news/india/gail-to-invest-over-rs-45-000-cr-to-create-infrastructure-for-gas-based-economy-11579701560989.html,,
Mastercard,United States,India,,2020,January,20-Jan,Technology/Electronics,"$1,000,000,000.00","72,910,500,000.00",Mastercard to invest $1 bn in India over 5 years towards tech development,https://www.business-standard.com/article/companies/mastercard-to-invest-1-bn-in-india-over-3-years-towards-tech-development-120011700869_1.html,,
Embassy Group,India,India,,2020,January,20-Jan,Infrastructure,"$274,309,000.00","20,000,000,000.00","Embassy Group to invest  ₹2,000 cr to set up co-living facilities in top 6 cities",https://www.livemint.com/companies/news/embassy-group-to-invest-2-000-cr-to-set-up-co-living-facilities-in-top-6-cities-11579606981756.html,,
Stone Sapphire,India,India,,2020,January,20-Jan,General Goods,"$54,861,800.00","4,000,000,000.00","Stone Sapphire to invest Rs 400cr in distribution, expanding toy OEMs",https://www.outlookindia.com/newsscroll/stone-sapphire-to-invest-rs-400cr-in-distribution-expanding-toy-oems/1714165,,
Oppo,China,Uttar Pradesh,North,2020,January,20-Jan,Technology/Electronics,"$301,739,900.00","22,000,000,000.00","Boost for Make in India: Oppo to make India its export hub, investing Rs 2,200 crore in manufacturing",https://www.financialexpress.com/industry/technology/boost-for-make-in-india-oppo-to-make-india-its-export-hub-investing-rs-2200-crore-in-manufacturing/1809978/,,
Samsung,South Korea,Uttar Pradesh,North,2020,January,20-Jan,Technology/Electronics,"$500,000,000.00","36,455,250,000.00",Samsung invests $500 million for new smartphone display manufacturing plant in India,https://www.thehindubusinessline.com/info-tech/samsung-invests-500-million-for-new-smartphone-display-manufacturing-plant-in-india/article30605865.ece,,
Public Investment Fund of Saudi Arabia,Saudi Arabia,JIO/Reliance,,2020,February,20-Feb,JIO/Reliance,"$1,000,000,000.00","72,910,500,000.00",Saudi Arabia's Public Investment Fund looks to invest up to $1 billion in Jio's fibre assets,https://economictimes.indiatimes.com/tech/internet/saudi-arabias-public-investment-fund-looks-to-invest-up-to-1-billion-in-jios-fibre-assets/articleshow/77665968.cms,,
Google,United States,JIO/Reliance,,2020,February,20-Feb,JIO/Reliance,"$4,500,000,000.00","328,097,250,000.00",Jio to develop an entry-level affordable smartphone in partnership with Google,https://economictimes.indiatimes.com/tech/hardware/jio-to-develop-an-affordable-4g-and-5g-smartphone-in-partnership-with-google/articleshow/76977801.cms,,
Petrotec,Portugal,Gujarat,West,2020,February,20-Feb,Industry,"$3,500,000.00","255,186,750.00",Petrotec invests 3 million in fuel pump plant in India,https://www.dinheirovivo.pt/economia/petrotec-investe-3-milhoes-em-fabrica-de-bombas-de-combustivel-na-india-12779407.html,,
GP Petroleums,India,Gujarat,West,2020,February,20-Feb,Industry,"$1,371,545.00","100,000,000.00",GP Petroleums To Invest Rs 100 Crore In Greenfield Plant At Gujarat,http://www.businessworld.in/article/GP-Petroleums-To-Invest-Rs-100-Crore-In-Greenfield-Plant-At-Gujarat/18-02-2020-184441/,,
PepsiCo,United States,Assam,Northeast,2020,February,20-Feb,General Goods,"$54,861,800.00","4,000,000,000.00",PepsiCo to invest Rs 400 cr in Assam to set up manufacturing unit,https://economictimes.indiatimes.com/industry/cons-products/food/pepsico-to-invest-rs-400-cr-in-assam-to-set-up-manufacturing-unit/articleshow/74329123.cms?from=mdr,,
RJ Corp,India,India,,2020,February,20-Feb,General Goods,"$137,154,500.00","10,000,000,000.00","RJ Corp firm DIL to invest Rs 1,000 cr in 5 yrs; Yum! Restaurants picks stake",https://www.outlookindia.com/newsscroll/rj-corp-firm-dil-to-invest-rs-1000-cr-in-5-yrs-yum-restaurants-picks-stake/1730462,,
Freudenberg Group,Germany,Punjab,North,2020,February,20-Feb,Automobiles,"$54,861,800.00","4,000,000,000.00",Germany-based Freudenberg Group to invest  ₹400 crore in Punjab,https://www.livemint.com/news/india/germany-based-freudenberg-group-to-invest-400-crore-in-punjab-11582038068878.html,,
